0,2.70344e-05
1,2.7034e-05
2,2.72104e-05
3,2.76324e-05
4,2.7617e-05
5,2.65709e-05
6,2.6635e-05
7,2.6766e-05
8,2.68362e-05
9,2.67315e-05
10,2.70245e-05
11,2.7063e-05
12,2.7077e-05
13,2.80142e-05
14,2.80436e-05
15,2.82903e-05
16,2.84271e-05
17,2.83568e-05
18,2.83904e-05
19,2.84215e-05
20,2.8352e-05
21,2.80882e-05
22,3.05973e-05
23,3.06679e-05
24,3.05501e-05
25,2.80947e-05
26,2.91521e-05
27,2.97301e-05
28,2.89399e-05
29,2.89554e-05
30,2.84929e-05
31,2.85372e-05
32,2.91659e-05
33,2.91946e-05
34,2.91602e-05
35,2.88879e-05
36,2.91745e-05
37,2.93628e-05
38,2.902e-05
39,2.87504e-05
40,2.69786e-05
41,2.71629e-05
42,2.70774e-05
43,2.73182e-05
44,2.76167e-05
45,2.90086e-05
46,2.93559e-05
47,2.97315e-05
48,2.94959e-05
49,3.00328e-05
50,3.07759e-05
51,3.14131e-05
52,3.19936e-05
53,3.28207e-05
54,3.37236e-05
55,1.67556e-05
56,1.6669e-05
57,1.65885e-05
58,1.65623e-05
59,2.61568e-05
60,2.62693e-05
61,2.59011e-05
62,2.59677e-05
63,2.57289e-05
64,2.54659e-05
65,2.47651e-05
66,2.46311e-05
67,2.4657e-05
68,1.68808e-05
69,1.66417e-05
70,1.65484e-05
71,1.72037e-05
72,1.70721e-05
73,1.71629e-05
74,1.68133e-05
75,1.68189e-05
76,1.67386e-05
77,1.64515e-05
78,1.6607e-05
79,1.65562e-05
80,1.65146e-05
81,1.64916e-05
82,1.64768e-05
83,1.65564e-05
84,1.85707e-05
85,1.84879e-05
86,1.76883e-05
87,1.73547e-05
88,1.69505e-05
89,1.67673e-05
90,1.56857e-05
91,1.54938e-05
92,2.88811e-05
93,2.89454e-05
94,2.70509e-05
95,2.64125e-05
96,2.64053e-05
97,2.60483e-05
98,2.51931e-05
99,2.4581e-05
100,2.40616e-05
101,3.09018e-05
102,3.45512e-05
103,3.85525e-05
104,3.78884e-05
105,3.78555e-05
106,3.72283e-05
107,3.80101e-05
108,3.79711e-05
109,3.92447e-05
110,3.79947e-05
111,3.29578e-05
112,3.29639e-05
113,3.12721e-05
114,3.53405e-05
115,3.48784e-05
116,3.45731e-05
117,3.85944e-05
118,3.64735e-05
119,3.61281e-05
120,3.30322e-05
121,3.30338e-05
122,3.31691e-05
123,4.16006e-05
124,4.16231e-05
125,4.1701e-05
126,4.07427e-05
127,4.19985e-05
128,4.21097e-05
129,4.32061e-05
130,4.33014e-05
131,4.33131e-05
132,4.35605e-05
133,4.26682e-05
134,4.27212e-05
135,4.23121e-05
136,4.22516e-05
137,4.24124e-05
138,3.95158e-05
139,3.69556e-05
140,3.61804e-05
141,3.54916e-05
142,3.56213e-05
143,3.57601e-05
144,3.569e-05
145,2.21501e-05
146,2.22037e-05
147,2.20003e-05
148,2.19161e-05
149,1.92887e-05
150,3.30783e-05
151,2.6901e-05
152,2.94861e-05
153,2.8647e-05
154,3.39679e-05
155,3.06319e-05
156,2.99849e-05
157,2.8972e-05
158,2.86133e-05
159,2.76992e-05
160,2.73182e-05
161,2.83236e-05
162,3.10154e-05
163,3.05675e-05
164,3.09305e-05
165,3.2954e-05
166,3.59379e-05
167,3.23468e-05
168,2.93126e-05
169,2.91651e-05
170,2.89491e-05
171,2.79931e-05
172,2.67088e-05
173,4.25192e-05
174,5.05419e-05
175,5.00574e-05
176,4.94605e-05
177,1.68577e-05
178,1.64503e-05
179,1.641e-05
180,1.79308e-05
181,1.77864e-05
182,2.26992e-05
183,2.23341e-05
184,2.38103e-05
185,2.38142e-05
186,2.39245e-05
187,2.33768e-05
188,3.75366e-05
189,0.000239808
190,2.43541e-05
191,2.48398e-05
192,2.48548e-05
193,2.49786e-05
194,2.51018e-05
195,2.41171e-05
196,2.34354e-05
197,2.27922e-05
198,2.28669e-05
199,2.18071e-05
200,2.26861e-05
201,2.29106e-05
202,2.1655e-05
203,1.9978e-05
204,1.96079e-05
205,2.08395e-05
206,2.04283e-05
207,2.06806e-05
208,2.25985e-05
209,2.19219e-05
210,2.20228e-05
211,2.21725e-05
212,2.23096e-05
213,2.50877e-05
214,2.43543e-05
215,2.41706e-05
216,3.01866e-05
217,3.09424e-05
218,3.09745e-05
219,3.12219e-05
220,3.90392e-05
221,3.74342e-05
222,3.80268e-05
223,3.85887e-05
